Weight,Height,lower_asymptote,upper_asymptote,growth_rate,inflection_point,,lower_asymptote_std_error,upper_asymptote_std_error,growth_rate_std_error,inflection_point_std_error,lower_asymptote_ratio,upper_asymptote_ratio,growth_rate_ratio,inflection_point_ratio
200,75,-0.00522708,1.486057161,0.2618862144,9.788594199,,0.0044352605,0.0648855844,0.0136381357,0.186335079,-1.178528262,22.90273216,19.20249365,52.53221375
200,80,-0.005571324,1.465241093,0.2520973685,10.03000731,,0.0044707134,0.0619014406,0.0129632348,0.187908686,-1.246182261,23.67054916,19.44710348,53.37702861
210,60,-0.004458252,1.537747873,0.2838340198,9.326193116,,0.0043631116,0.0726524803,0.0152558153,0.1845418641,-1.021805719,21.16580008,18.60497222,50.53700505
210,65,-0.004666654,1.521246975,0.2770471972,9.469537395,,0.0043842019,0.0701683136,0.0147514547,0.1850686469,-1.064425066,21.67997059,18.78100862,51.16770212
210,70,-0.004928546,1.502185288,0.2688636925,9.650955952,,0.0044108596,0.0673419243,0.0141575309,0.1859099832,-1.117366326,22.30683639,18.99086041,51.91198335
210,75,-0.005237909,1.481758528,0.2596480966,9.867538963,,0.0044425645,0.0643652221,0.0135066168,0.1871447406,-1.179028332,23.02110488,19.22377014,52.72677679
210,80,-0.005589131,1.460912896,0.2497205531,10.11702176,,0.0044788354,0.0613837964,0.0128256955,0.1888412263,-1.247898224,23.79965043,19.47033235,53.57422187
220,60,-0.004455433,1.533925789,0.2820690181,9.385071206,,0.0043691104,0.0721905389,0.0151515264,0.1851234469,-1.019757453,21.24829393,18.61654136,50.69628598
220,65,-0.004668036,1.517331042,0.2751718962,9.532779274,,0.0043906784,0.069696263,0.0146410394,0.1857062003,-1.063169579,21.77062265,18.79456018,51.3325848
220,70,-0.004935148,1.498186381,0.266862213,9.719786833,,0.0044179369,0.0668625889,0.0140405459,0.1866240506,-1.117070625,22.40694543,19.00654109,52.08217699
220,75,-0.005250594,1.477702363,0.2575139589,9.943128421,,0.0044503506,0.0638833091,0.0133832633,0.1879573518,-1.179815838,23.13127455,19.24149233,52.90098166
220,80,-0.005608574,1.456833408,0.2474554437,10.20049749,,0.0044874213,0.0609047763,0.0126966508,0.1897753729,-1.249843339,23.91985484,19.48982033,53.75037518
230,60,-0.004454615,1.530301147,0.2803811975,9.44129046,,0.0043755419,0.0717610818,0.0150536568,0.1857085437,-1.018071501,21.32494535,18.62545429,50.83928975
230,65,-0.004671296,1.513619022,0.2733786161,9.59326142,,0.0043975781,0.0692572431,0.0145372936,0.1863467259,-1.062242871,21.8550285,18.80533092,51.48070819
230,70,-0.00494349,1.494398471,0.2649485577,9.785731795,,0.004425426,0.0664168158,0.0139305173,0.187340416,-1.11706537,22.50030287,19.01929072,52.23502757
230,75,-0.005264837,1.473863746,0.2554742445,10.01568204,,0.0044585337,0.0634353283,0.0132671711,0.1887712782,-1.180844946,23.2341155,19.25612042,53.05723486
230,80,-0.005629362,1.452976861,0.2452918574,10.28076555,,0.0044963864,0.0604598253,0.0125751689,0.190709492,-1.251974749,24.03210487,19.50604873,53.90799081
240,60,-0.004455517,1.526853803,0.2787634288,9.495110198,,0.0043823339,0.0713603028,0.0149614872,0.1862957279,-1.016699482,21.3964031,18.63206674,50.96794384
240,65,-0.004676172,1.510090383,0.2716598074,9.651250698,,0.0044048298,0.0688474365,0.0144394782,0.1869888932,-1.061600979,21.93386508,18.81368589,51.61403189
240,70,-0.004953305,1.490800177,0.2631147565,9.849066119,,0.0044332556,0.0660007245,0.0138266849,0.1880577266,-1.117306535,22.58763352,19.02948964,52.37256825
240,75,-0.005280387,1.470220673,0.2535204309,10.08548559,,0.0044670435,0.0630173717,0.0131575545,0.1895852246,-1.182076447,23.33040294,19.26805097,53.19763505
240,80,-0.005651269,1.449320854,0.2432206365,10.35812411,,0.0045056623,0.060045056,0.0124604393,0.1916424569,-1.254259267,24.13722214,19.51942712,54.0492137
250,65,-0.004682435,1.506727992,0.2700092265,9.70696838,,0.0044576125,0.0691656191,0.0144940797,0.1895552731,-1.050435557,21.78434909,18.62893204,51.20917092
250,70,-0.004964385,1.487374084,0.2613541213,9.91001879,,0.0044869034,0.0662838474,0.0138691733,0.1907103896,-1.106416805,22.43946514,18.84424657,51.9637069
250,75,-0.005297049,1.466755175,0.2516453605,10.15277646,,0.004521712,0.0632683485,0.0131876006,0.1923503086,-1.171469904,23.18307985,19.08196704,52.78274068
250,80,-0.005674096,1.445846713,0.241234158,10.43281951,,0.0045614845,0.0602688949,0.0124784306,0.1945476562,-1.243914341,23.98993236,19.33209111,53.62603548
260,65,-0.004689906,1.503517112,0.268421253,9.760611658,,0.0044660975,0.0688110537,0.0144074715,0.1902304973,-1.050112771,21.84993588,18.63069823,51.30939463
260,70,-0.004976546,1.484104613,0.2596607321,9.968792879,,0.0044959556,0.0659234041,0.0137768787,0.1914604311,-1.106893908,22.51256035,18.84757336,52.0671181
260,75,-0.005314647,1.46345118,0.2498427041,10.21776559,,0.004531431,0.0629062301,0.0130898716,0.1931965159,-1.172840754,23.26401023,19.08671924,52.88793923
260,80,-0.005697687,1.442538017,0.2393256123,10.5050719,,0.0045719522,0.0599098197,0.0123759337,0.195512091,-1.246226194,24.07849038,19.33798439,53.73106003
270,65,-0.00469842,1.500444578,0.2668910146,9.812352559,,0.0044747617,0.0684772083,0.0143251338,0.1909036522,-1.049982127,21.91159096,18.63096141,51.39950152
270,70,-0.004989641,1.480978443,0.2580293345,10.02556724,,0.0045051778,0.0655841089,0.0136890726,0.1922078869,-1.107534744,22.58136104,18.8492926,52.16002008
270,75,-0.005333029,1.460294749,0.2481068784,10.28063854,,0.0045413075,0.0625655302,0.0129968598,0.1940392837,-1.174337773,23.34024412,19.08975567,52.98225361
270,80,-0.005721906,1.43938046,0.2374889951,10.57507496,,0.0045825636,0.0595722973,0.0122783776,0.1964720574,-1.248625461,24.16190959,19.34205016,53.82482934
280,70,-0.005003531,1.477983668,0.2564553315,10.08049908,,0.0045678468,0.0660345973,0.0137660095,0.1952307199,-1.095380748,22.38195928,18.62960591,51.63377509
280,75,-0.005352084,1.457273843,0.2464328923,10.34155963,,0.0046050543,0.0629792416,0.0130605703,0.1971794569,-1.162219439,23.1389551,18.86846335,52.44744963
280,80,-0.00574664,1.43636159,0.2357189664,10.6430004,,0.0046475274,0.0599539929,0.0123292164,0.199758523,-1.236493963,23.95773026,19.11873049,53.27933067
290,70,-0.00501811,1.475109959,0.2549345936,10.13372818,,0.0045780245,0.0657367842,0.0136868584,0.1960059535,-1.096130082,22.43964284,18.6262315,51.70112436
290,75,-0.005371702,1.454377635,0.2448163469,10.40067419,,0.0046158771,0.0626801465,0.0129764754,0.1980499255,-1.163744587,23.20316268,18.86616665,52.51541578
