Weight,Height,lower_asymptote,upper_asymptote,growth_rate,inflection_point
310,80,-0.002116571,1.648565157,2.303494094,1.60818925
320,75,-0.001720417,1.644346949,2.449075214,1.543992072
320,80,-0.002073576,1.640914387,2.352492537,1.57614454
330,75,-0.001891309,1.645451061,2.486207221,1.515836328
330,80,-0.001886316,1.629335336,2.410377555,1.544246278
340,75,-0.001764522,1.631778498,2.544033322,1.485627662
340,80,-0.001989073,1.633288415,2.444311262,1.518054572
350,75,-0.001843977,1.638586417,2.575559009,1.461956106
350,80,-0.00191472,1.623667902,2.495806938,1.489625633
360,75,-0.001922425,1.639765413,2.614825376,1.437613631
360,80,-0.00191276,1.627509362,2.531052473,1.465968057
370,80,-0.002145503,1.635704571,2.555560304,1.4448766
