Weight,Height,a,b,c,d
250,70,3.347800427,7.597273169,1.580141991,2.648370014
250,75,3.764466561,7.597273504,1.646095016,2.648370056
250,80,4.193761171,7.597273353,1.709244083,2.648370059
260,65,3.040628732,7.605021108,1.528698197,2.648415144
260,70,3.43125352,7.605019372,1.594413452,2.648415046
260,75,3.85424338,7.605021202,1.660284903,2.648415193
260,80,4.2894531,7.605021223,1.723308719,2.648415202
270,65,3.115586978,7.612231992,1.542359484,2.648454466
270,70,3.512281036,7.612231157,1.608031985,2.648454439
270,75,3.941261221,7.612232562,1.673812234,2.648454556
270,80,4.382050755,7.612231882,1.736703912,2.648454532
280,70,3.591010278,7.618961248,1.621048404,2.648488781
280,75,4.02567152,7.618961071,1.686729271,2.648488787
280,80,4.471733951,7.618962285,1.749483565,2.648488898
290,70,3.667560861,7.625259089,1.63350865,2.6485189
290,75,4.107618497,7.625259626,1.699083686,2.648518967
290,80,4.558663665,7.625258546,1.761695304,2.648518906
300,70,3.742041689,7.631164478,1.645453277,2.648545221
300,75,4.18722922,7.631166118,1.710916692,2.64854537
300,80,4.642995245,7.631166548,1.773382424,2.648545401
310,70,3.814891227,7.637208525,1.657001234,2.648610395
310,75,4.264193209,7.636265495,1.722204791,2.648542651
310,80,4.724732262,7.636660488,1.784581201,2.648569093
320,75,4.339917198,7.641947208,1.733165183,2.648588866
320,80,4.804396219,7.641946538,1.795329896,2.648588829
330,75,4.413191567,7.646878782,1.743642306,2.648606562
330,80,4.88169998,7.646881098,1.805653916,2.648606736
340,75,4.48458164,7.65154512,1.753730363,2.648622307
340,80,4.956914509,7.651545497,1.815586605,2.648622377
350,75,4.554155731,7.65596253,1.763451385,2.648636046
350,80,5.030128898,7.655963724,1.825151495,2.648636158
360,75,4.621999939,7.660152838,1.772828451,2.648648108
360,80,5.101436227,7.66015382,1.834371526,2.648648209
370,80,5.170935473,7.664145354,1.843270967,2.648660325
